# Type 1, Type 2, Tera Type, Score
NRM,FIR,FIR,55.9887194219
GRS,RCK,FGT,55.9455547158
GRS,FGT,PSY,55.9241453101
ELC,DRK,GRD,55.9115514791
GRS,FGT,NRM,55.8926525040
ICE,RCK,PSN,55.8684199368
ICE,FLY,FGT,55.8589090793
PSN,FLY,WTR,55.8346259626
GRS,BUG,BUG,55.8237828881
GRS,FRY,FGT,55.8131978775
GRS,GRD,DRG,55.8104047972
FLY,GHT,FRY,55.7894922331
ICE,DRG,DRG,55.7812291078
WTR,PSY,PSN,55.7803121128
FIR,GHT,ELC,55.7611307007
WTR,PSN,PSY,55.7308072494
FLY,DRK,FRY,55.7242976095
FIR,GHT,GRD,55.7140481473
BUG,GHT,GRD,55.6896058817
FIR,GRS,FIR,55.6689571912
RCK,DRG,PSN,55.6499826705
WTR,FLY,GRD,55.6354870314
FIR,DRK,ELC,55.6315603924
GRD,BUG,FIR,55.6227428671
GRS,RCK,NRM,55.6116679022
FIR,---,FIR,55.5851653617
FIR,DRK,GRD,55.5844778391
FGT,GRD,RCK,55.5534686021
BUG,DRK,GRD,55.5366541181
GHT,FRY,PSN,55.5184291497
GRS,FLY,GRD,55.5135987231
WTR,RCK,PSN,55.5071331978
RCK,DRG,DRG,55.4835425138
DRK,FRY,PSN,55.4638562898
FIR,ELC,PSN,55.4484599968
GRS,FGT,GHT,55.4154101075
ICE,GRD,DRG,55.3967526457
PSN,RCK,PSY,55.3738028159
GRS,DRG,GRS,55.3705299721
ICE,GRD,FIR,55.3646347695
WTR,PSN,ELC,55.3511722589
NRM,FGT,PSN,55.3466512315
WTR,FRY,PSN,55.2897344372
PSY,RCK,FGT,55.2838250180
NRM,DRG,NRM,55.2605659156
FLY,BUG,BUG,55.2516469104
GRS,RCK,PSY,55.2268910379
GHT,DRG,GRD,55.1983510989
PSN,RCK,NRM,55.1814570964
ICE,RCK,FGT,55.1510453055
GRS,FLY,PSN,55.1428312982
ELC,FLY,FRY,55.1115374530
FGT,RCK,GHT,55.1005560925
BUG,FRY,BUG,55.0762087807
DRG,DRK,GRD,55.0687807907
FGT,BUG,WTR,55.0484314588
WTR,RCK,GRD,55.0131059636
FGT,PSY,GHT,54.9992089888
PSY,DRG,DRG,54.9577052752
GRS,RCK,GRD,54.9498975369
ELC,BUG,FRY,54.9477045796
BUG,GHT,BUG,54.9409050611
NRM,DRK,DRK,54.8771312333
GRD,BUG,ICE,54.8593477789
GRS,PSY,GRS,54.8491864917
FIR,FGT,WTR,54.8457727166
FGT,RCK,NRM,54.8377821666
PSN,BUG,WTR,54.7537368971
GHT,DRK,DRK,54.7397136702
DRK,---,DRK,54.7397136702
DRG,DRK,DRG,54.7342682303
FGT,GRD,DRG,54.7285460177
GHT,DRG,DRG,54.7237283249
WTR,BUG,GRD,54.7202474243
PSY,RCK,FRY,54.7125598661
PSY,RCK,GHT,54.6815371216
PSN,GRD,RCK,54.6622944643
RCK,DRG,FRY,54.6615144479
NRM,RCK,FRY,54.6615144479
RCK,---,FRY,54.6615144479
GRD,FLY,NRM,54.6608248279
WTR,ICE,GRD,54.6563788272
BUG,DRK,BUG,54.6335635950
GRS,ICE,GRD,54.5949012972
ELC,DRG,DRG,54.5877226607
ELC,ICE,GRD,54.5643686221
GRS,BUG,GRD,54.5485417457
GRS,PSN,WTR,54.5322598384
GRS,PSN,NRM,54.5176290309
FIR,FRY,WTR,54.5126229625
NRM,ICE,GRD,54.5111094678
ICE,DRG,GRD,54.5111094678
ICE,---,GRD,54.5111094678
ICE,PSN,GHT,54.5006402434
GRD,DRG,GHT,54.4931666381
GRS,DRK,FGT,54.4824158031
FGT,BUG,PSN,54.4600398804
GRS,GHT,FGT,54.4531675532
FIR,GRS,GRS,54.4507283687
BUG,RCK,WTR,54.4230776457
WTR,GRD,NRM,54.4040718264
GRD,DRG,DRK,54.4027122588
FLY,DRG,DRG,54.4010780434
FGT,---,PSN,54.3984787198
ELC,PSN,---,54.3861701884
ICE,PSN,WTR,54.3622456672
GRS,RCK,WTR,54.2880044078
ELC,RCK,WTR,54.2764539376
ICE,FLY,FRY,54.2616030469
FGT,RCK,DRK,54.2091627945
FIR,ELC,WTR,54.1942176069
NRM,PSN,GRD,54.1683332227
PSN,---,GRD,54.1683332227
ELC,GHT,PSN,54.1400461105
FGT,DRG,WTR,54.1337421869
ICE,BUG,FRY,54.0957449950
ELC,DRK,PSN,54.0557091839
ICE,RCK,GHT,54.0448870080
FIR,GRS,PSN,54.0415847834
ELC,GRD,DRG,54.0414680018
FGT,GHT,NRM,54.0238697743
GRS,GRD,ICE,54.0084875847
FIR,PSY,WTR,53.9987251811
BUG,DRG,DRG,53.9619187656
FGT,DRK,NRM,53.9586751507
ELC,GRD,ICE,53.9582736897
PSY,DRK,FGT,53.9388401911
WTR,ELC,PSN,53.9017577079
PSY,GHT,FGT,53.8798278744
GRD,RCK,PSY,53.8580666338
PSN,GRD,WTR,53.8523796020
FIR,GRS,FGT,53.8519377719
FGT,FLY,GHT,53.8362821184
GRS,RCK,DRK,53.8235906634
ELC,FLY,WTR,53.7760949705
ELC,FGT,PSY,53.7699937007
ICE,DRK,FGT,53.7185896146
ICE,GHT,FGT,53.6893413647
WTR,PSN,GHT,53.6757415657
