# Type 1, Type 2, Tera Type, Score
WTR,ICE,STL,65.1860482049
PSY,RCK,STL,65.1691305373
FGT,FRY,PSN,65.1335072381
FIR,GRS,PSN,65.1049696301
NRM,FIR,NRM,65.0744310066
ICE,FLY,STL,65.0444026594
PSN,FLY,PSN,65.0089164470
FIR,GRS,NRM,64.8363885186
PSY,BUG,STL,64.8182384745
ICE,GRD,DRK,64.7436710890
WTR,PSN,PSN,64.7297721473
FIR,STL,---,64.5669276470
ICE,DRK,FRY,64.5270561500
FGT,RCK,NRM,64.5223306801
ICE,GHT,FRY,64.5177790542
FGT,DRG,DRG,64.4832373717
GRS,FRY,PSN,64.3890943260
GRD,STL,WTR,64.3614787712
PSY,RCK,PSN,64.2099961096
DRK,FRY,DRK,64.1846932168
GRS,DRG,FGT,64.1426987001
BUG,RCK,FRY,64.0692786732
GRS,ICE,GHT,63.9900887280
WTR,PSY,PSY,63.9895986561
NRM,GRS,STL,63.9802950725
GRS,---,STL,63.9802950725
ICE,GRD,PSN,63.9642581453
GRS,RCK,DRK,63.9151931679
GRD,DRG,DRG,63.8837728283
NRM,RCK,NRM,63.8744853375
GRD,FLY,FGT,63.8736185648
STL,FRY,WTR,63.8285067490
PSY,STL,PSY,63.7785039937
FGT,GHT,PSN,63.6956394697
FGT,RCK,GHT,63.6674568637
GRS,PSY,PSN,63.6648959307
FGT,DRK,PSN,63.6437678793
GRS,ICE,PSY,63.5959286420
FGT,GRD,FLY,63.5454266712
FGT,DRK,FLY,63.5309548392
FGT,GHT,FLY,63.5216777434
BUG,DRK,DRK,63.3926825658
PSY,GHT,WTR,63.3507787209
NRM,ICE,NRM,63.3405675917
PSY,DRK,WTR,63.3205225882
FIR,GRS,GRS,63.2214777824
ICE,PSY,FGT,63.1339880938
PSN,STL,PSN,63.1051176157
GRS,FRY,GRS,63.0568769616
NRM,FIR,FIR,63.0559011388
NRM,GRD,GRD,63.0239008017
GRD,---,GRD,63.0239008017
GRD,FLY,WTR,63.0117831439
ICE,GRD,FGT,62.9670926318
ICE,GRD,NRM,62.9663429962
WTR,DRK,STL,62.9321872463
WTR,GHT,STL,62.8532558187
NRM,DRK,STL,62.8406099624
GHT,DRK,STL,62.8406099624
DRK,---,STL,62.8406099624
GRS,BUG,FGT,62.8347556415
GRS,PSN,FGT,62.8286657679
GRS,DRG,DRG,62.8156380054
GRD,DRK,FLY,62.7543536842
GRD,GHT,FLY,62.7450765884
NRM,GHT,STL,62.7295457784
GHT,---,STL,62.7295457784
BUG,RCK,WTR,62.7006103632
FGT,RCK,DRK,62.6964523960
WTR,RCK,STL,62.6611432545
GHT,DRG,GHT,62.6395091611
GRS,FGT,BUG,62.6325521159
FIR,BUG,WTR,62.4705052615
FIR,GRS,FIR,62.4279051276
WTR,BUG,STL,62.4133290877
GRD,FLY,PSN,62.4110531259
ICE,GHT,WTR,62.3738263775
FIR,---,FIR,62.3548092388
FGT,DRK,FRY,62.3457956074
FGT,GHT,FRY,62.3365185116
GRS,BUG,FLY,62.3321539128
ICE,PSY,WTR,62.3162250097
WTR,FGT,FLY,62.3149430541
RCK,DRG,STL,62.3122866912
ICE,DRK,WTR,62.3081254007
GRS,FLY,GHT,62.2297785373
NRM,FGT,WTR,62.2169551874
FGT,---,WTR,62.2169551874
FLY,BUG,STL,62.2121389066
WTR,FLY,FGT,62.1551797531
FIR,GRS,PSY,62.0613962447
BUG,FRY,STL,62.0301005072
GRS,FRY,FLY,61.9778442702
FIR,RCK,WTR,61.9488979760
BUG,DRG,STL,61.9186020536
GRS,ICE,PSN,61.8531417844
WTR,PSY,FGT,61.7784762969
GRS,PSY,GHT,61.7626813941
BUG,GHT,GHT,61.7437661752
PSY,BUG,PSY,61.7274067742
PSN,PSY,PSY,61.6718741396
FLY,FRY,STL,61.6632892800
NRM,DRK,NRM,61.6531599831
NRM,GHT,NRM,61.6438131596
GRS,GRD,PSY,61.5255151407
FLY,RCK,STL,61.5027079983
FGT,GRD,DRK,61.4912441822
GRS,BUG,GRS,61.4760154387
PSN,RCK,STL,61.4615757965
GRS,ICE,DRK,61.4528588938
DRK,STL,WTR,61.3958489498
PSY,FRY,STL,61.3937859358
ICE,FGT,GRD,61.3936476476
GHT,STL,WTR,61.3918955948
PSY,STL,WTR,61.3838203054
FIR,GRS,FLY,61.3159527714
GRS,GHT,GRS,61.2143379387
GRS,DRK,GRS,61.1759053310
GRD,BUG,WTR,61.1423017794
ICE,PSN,STL,61.1239872204
GRS,STL,FLY,61.0692196545
ICE,DRG,STL,61.0459663221
RCK,STL,WTR,61.0398877739
GRD,RCK,GHT,61.0244407909
GRS,PSN,GRS,61.0198148220
NRM,ICE,STL,61.0107177288
ICE,---,STL,61.0107177288
GRS,PSN,FLY,60.9971569339
PSN,RCK,WTR,60.9704140322
WTR,DRK,FRY,60.9613534471
WTR,GHT,FRY,60.9520763514
ICE,GHT,GRD,60.9399678921
ICE,DRK,GRD,60.8742669153
GRS,GRD,GRS,60.8443799190
DRK,STL,FRY,60.7939221201
FIR,PSN,WTR,60.7624391370
PSY,RCK,FGT,60.7307807782
GHT,STL,FRY,60.7149906924
PSY,DRK,DRK,60.6786068274
GRS,DRG,WTR,60.6684638063
FIR,GRS,DRK,60.6465176010
ICE,DRK,FLY,60.6278001837
ICE,GHT,FLY,60.6185230879
ICE,FLY,FGT,60.5964779784
ICE,FGT,ICE,60.5237939335
GRD,FRY,FGT,60.4577285834
PSN,DRG,PSN,60.3973393620
PSN,BUG,PSN,60.3787795913
DRK,STL,DRK,60.2990933018
GRS,FLY,PSN,60.2902093526
WTR,FGT,FRY,60.2818313459
GRS,ICE,GRS,60.2818289588
WTR,FGT,DRK,60.2027221292
ICE,RCK,FGT,60.1954915648
FLY,PSY,STL,60.1730720297
WTR,FGT,PSN,60.1545805856
NRM,STL,---,60.1048249739
GRS,ICE,NRM,60.0630107816
FLY,DRK,WTR,60.0310891190
FLY,GHT,WTR,60.0218120232
GRS,PSY,FLY,60.0213520082
GRS,FLY,GRS,60.0205889639
GRS,STL,FGT,60.0001147151
PSY,GHT,PSY,59.9688798404
PSY,DRK,PSY,59.9455863807
RCK,FRY,FIR,59.9103344414
FIR,GRD,WTR,59.8779245167
NRM,GRS,FGT,59.8677045887
ICE,FRY,WTR,59.7569506379
GRS,---,FGT,59.7059997553
GHT,DRK,GHT,59.6367722980
NRM,GHT,GHT,59.6332420608
FIR,STL,WTR,59.6307392534
GRD,GHT,PSN,59.6263978384
NRM,WTR,NRM,59.6138679895
GRD,DRK,PSN,59.6003980935
GRS,PSY,FRY,59.5665153403
GRS,DRG,FRY,59.5341774961
NRM,GRS,FRY,59.5068819176
GRS,---,FRY,59.5068819176
WTR,STL,---,59.4964040529
PSN,GRD,WTR,59.4127435622
ICE,GRD,PSY,59.3911142363
FLY,DRK,FGT,59.3469674545
FGT,BUG,BUG,59.3225892081
FLY,GHT,FGT,59.2872311501
FGT,PSN,FRY,59.2765690383
ICE,STL,WTR,59.2620740654
FGT,RCK,PSY,59.2196262619
FLY,RCK,WTR,59.2066320658
GRS,STL,PSY,59.1422946520
ICE,FLY,WTR,59.0483701042
WTR,FRY,STL,59.0220998598
ICE,FRY,GRD,59.0170140047
PSY,DRK,FGT,59.0080020491
DRG,DRK,DRK,59.0064453914
FIR,FLY,WTR,59.0018543344
NRM,STL,NRM,58.9808995436
WTR,GRS,FLY,58.9648639464
ICE,GRD,FRY,58.9573114287
PSY,GHT,FGT,58.9482657447
FIR,FGT,PSN,58.9346533004
WTR,ICE,FRY,58.8901440995
PSN,FRY,WTR,58.8837022813
GRS,STL,GHT,58.8815767873
FIR,RCK,FRY,58.7917503605
WTR,FRY,FGT,58.7614043158
WTR,STL,FRY,58.7578970845
GRS,STL,GRS,58.7519539158
FLY,RCK,FRY,58.7426403049
GRS,FGT,DRG,58.7161762541
FGT,DRK,NRM,58.7021581657
FGT,GHT,NRM,58.6928810699
GRD,BUG,BUG,58.6779977121
FIR,GRD,PSN,58.6732938769
GRD,DRK,FGT,58.6618448917
GHT,---,GHT,58.6587624155
GRD,GHT,FGT,58.6375534315
FIR,DRG,DRG,58.6322937106
GHT,FRY,FIR,58.5674251959
DRK,FRY,FIR,58.5419994754
GRD,FRY,FIR,58.5342152283
NRM,RCK,STL,58.5294815270
RCK,---,STL,58.5294815270
GRD,RCK,FRY,58.5164926036
GRD,BUG,FLY,58.5099789775
GRS,PSN,PSY,58.4769689065
ICE,FLY,GRD,58.4719908649
GRS,GRD,DRG,58.4607641024
GRS,DRK,NRM,58.4206093489
GRS,GHT,NRM,58.4113322532
ICE,DRK,FGT,58.4014144948
GRD,RCK,FLY,58.3889081874
ICE,GHT,FGT,58.3771230346
RCK,DRG,DRG,58.3721885996
FIR,ICE,FRY,58.3577816463
FIR,GRS,BUG,58.3307173127
FLY,DRK,DRK,58.3266847912
PSN,DRK,DRK,58.2802415096
PSN,BUG,STL,58.2468455541
FIR,FRY,PSN,58.2364504107
FIR,WTR,FRY,58.2318938853
FGT,RCK,FIR,58.2053245361
PSY,BUG,WTR,58.1983741194
ICE,PSN,FRY,58.1722861092
GRS,FRY,GHT,58.1681958094
NRM,BUG,STL,58.1426979781
BUG,---,STL,58.1426979781
RCK,GHT,FIR,58.1182981156
FLY,STL,WTR,58.1166440881
FGT,DRG,PSN,58.1127696561
GRD,FRY,FLY,58.1120873674
GRS,BUG,BUG,58.1112798788
RCK,GHT,PSN,58.0800810117
FGT,STL,---,58.0526614454
RCK,DRK,FIR,58.0525971387
GRS,PSN,GHT,58.0519842518
RCK,DRK,PSN,58.0282094213
FGT,GRD,NRM,58.0043413739
WTR,PSN,FRY,58.0037735246
PSY,RCK,FIR,57.9671861072
