# Type 1, Type 2, Tera Type, Score
ICE,BUG,STL,60.2467814253
RCK,FRY,ELC,60.2375216595
STL,FRY,ELC,60.2302758258
FIR,GRS,FGT,60.1654344287
FLY,RCK,GRD,60.1313996818
GRD,RCK,WTR,60.1215071895
FIR,GRS,GRS,60.1131995476
ICE,FGT,PSN,60.0764298630
ELC,GHT,WTR,60.0664678519
PSY,RCK,GRD,60.0280128282
ELC,FLY,GRD,60.0188188249
ELC,DRK,WTR,60.0096294833
GRD,DRG,GHT,60.0050655476
DRK,FRY,ELC,59.9965112514
GHT,FRY,ELC,59.9899073944
GRS,FGT,PSY,59.9879825225
GRD,STL,BUG,59.9796948486
WTR,PSN,FRY,59.9504630437
GHT,DRK,GHT,59.9270844984
NRM,GHT,GHT,59.9240854618
GRD,DRG,DRK,59.9216572088
ELC,DRG,STL,59.8868296970
ICE,DRK,FGT,59.8081365369
ICE,GHT,FGT,59.7874205762
STL,FRY,WTR,59.7811535900
PSY,RCK,FGT,59.7743661513
GRD,DRK,DRG,59.7461208027
GRD,GHT,DRG,59.7425218030
GRS,DRG,DRG,59.7219508004
GRD,FLY,FIR,59.6902367450
ELC,PSY,WTR,59.6545091416
DRG,DRK,DRK,59.6490656681
GRS,ICE,STL,59.6256482562
GRD,PSY,FIR,59.5767082572
GRS,ICE,FRY,59.5757948809
FIR,DRG,DRG,59.5654773056
BUG,RCK,FRY,59.5241934584
GRD,STL,DRK,59.5062034769
GRS,FGT,GHT,59.5040702786
GRS,GRD,FLY,59.4788713750
FGT,RCK,NRM,59.4608901635
PSY,BUG,GRD,59.4562452860
GRS,ICE,FGT,59.4205343559
ICE,BUG,ICE,59.4074588416
GRS,BUG,STL,59.4045159670
FGT,PSN,FRY,59.3801920336
ELC,ICE,FGT,59.3764163077
FGT,GHT,PSN,59.3637207448
ELC,DRK,FRY,59.3618140812
ELC,GHT,FRY,59.3552102242
GRD,GHT,WTR,59.3504671755
FIR,BUG,BUG,59.3370888660
GRD,RCK,PSY,59.3369542329
FGT,DRK,PSN,59.3197914724
PSY,FRY,GRD,59.2948877693
GRD,DRK,WTR,59.2936288070
GRD,FLY,BUG,59.2727825817
NRM,FRY,GRD,59.2460975455
DRG,FRY,GRD,59.2460975455
FRY,---,GRD,59.2460975455
ELC,STL,WTR,59.1872551297
FIR,STL,ELC,59.1227504451
GRS,FLY,FRY,59.1171080651
GRS,BUG,GRS,59.0871531578
GRD,BUG,DRG,59.0806690548
RCK,GHT,WTR,59.0616804388
GHT,---,GHT,59.0551112882
RCK,FRY,PSN,59.0303655367
FLY,DRG,GRD,59.0126139405
RCK,DRK,WTR,59.0048420703
NRM,FLY,FLY,58.9845500227
FLY,---,FLY,58.9845500227
ICE,PSN,ICE,58.9682950140
DRK,STL,---,58.8411881466
PSY,STL,GRD,58.8304399064
GRS,GHT,GRS,58.8301570156
GRD,FRY,BUG,58.8296560209
GRS,PSN,GRS,58.8213447506
ELC,PSN,STL,58.8212987567
DRG,DRK,STL,58.8081903761
GRS,DRK,GRS,58.7969087014
GRS,FGT,PSN,58.7808861442
FLY,DRK,FGT,58.7800332988
FLY,DRK,DRK,58.7787135266
NRM,ELC,NRM,58.7625160755
PSN,DRK,DRK,58.7454592652
FLY,GHT,FGT,58.7296072620
FGT,RCK,DRK,58.7176795420
GHT,DRG,STL,58.7169623196
WTR,PSY,GRD,58.6985452228
PSY,RCK,WTR,58.6821450063
PSN,PSY,GRD,58.6794959200
GRS,BUG,FRY,58.6674851788
GRD,FLY,DRK,58.6552399285
PSN,GRD,DRK,58.6120722699
GRS,PSY,GRD,58.5535890380
FGT,RCK,GHT,58.5063375153
GRD,STL,WTR,58.4862063594
GRD,BUG,GHT,58.4342610036
GRS,RCK,GHT,58.4336363826
WTR,GRD,PSY,58.4266902904
ELC,BUG,GRD,58.4089870568
PSY,FRY,PSY,58.3916365501
FIR,BUG,ELC,58.3616388483
GRD,RCK,FIR,58.3570010131
PSY,DRG,PSY,58.3323282631
ELC,FLY,FGT,58.2517971167
ELC,GRD,FIR,58.2224979752
WTR,DRK,FGT,58.1820747846
WTR,GHT,FGT,58.1613588238
ICE,PSY,ICE,58.1271271383
GRD,BUG,PSY,58.1091192191
ICE,DRG,DRG,58.0803141588
PSN,BUG,PSN,58.0748490581
PSN,DRG,PSN,58.0724979591
WTR,DRG,DRG,58.0267988849
PSY,GHT,WTR,57.9845380090
GRS,ICE,GRS,57.9770206114
RCK,DRG,GRD,57.9689182496
PSY,DRK,WTR,57.9574097165
FLY,DRK,ELC,57.9415866922
FLY,GHT,ELC,57.9349828352
FIR,BUG,GRD,57.9217559650
WTR,FGT,FLY,57.8702321128
WTR,FGT,NRM,57.8656854498
FLY,STL,ELC,57.8653468627
PSN,DRK,STL,57.8393378828
ICE,PSY,STL,57.8030688031
NRM,FGT,GRD,57.7996959387
FGT,---,GRD,57.7996959387
PSY,DRK,FGT,57.7756802945
WTR,GRS,FGT,57.7725585395
ELC,STL,GRD,57.7697327093
WTR,ELC,FGT,57.7560926129
PSN,GHT,STL,57.7481098264
PSY,GHT,FGT,57.7252542577
BUG,STL,BUG,57.6967552430
PSY,BUG,STL,57.6717612815
GRD,FRY,DRG,57.6626313571
RCK,DRG,DRG,57.6512548306
